FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6af3,6151688,POINT (16.422860190797213 48.27617678772024),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6af2,6151689,POINT (16.36840311891069 48.2340848607281),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6af1,6151690,POINT (16.36843456653548 48.23407768703112),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6af0,6151691,POINT (16.342938480445707 48.20752930586757),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6aef,6151692,POINT (16.368270992555257 48.24016444294376),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6aee,6151693,POINT (16.340660627948026 48.207613565934935),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6aed,6151694,POINT (16.3396869770569 48.188876396119184),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6aec,6151695,POINT (16.4152757097105 48.18102778963645),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6aeb,6151696,POINT (16.417668461393912 48.17740642759396),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6aea,6151697,POINT (16.384555905557818 48.155864334702144),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae9,6151698,POINT (16.405785543904866 48.27434955824138),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae8,6151699,POINT (16.347056663654826 48.192445467083296),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae7,6151700,POINT (16.326745627620998 48.192745248828295),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae6,6151701,POINT (16.28989297911641 48.15429525364776),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae5,6151702,POINT (16.28302868102596 48.226026162197414),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae4,6151703,POINT (16.390826658971516 48.204526554194395),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae3,6151704,POINT (16.34117486212467 48.20745703280421),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae2,6151705,POINT (16.337402193787273 48.206378930917985),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae1,6151706,POINT (16.35429977611392 48.20375867352502),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ae0,6151707,POINT (16.32075106023309 48.17100163808249),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6adf,6151708,POINT (16.321549178181836 48.185836071930524),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ade,6151709,POINT (16.443936034380375 48.23889016882992),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6add,6151710,POINT (16.370954879396884 48.235307531093575),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6adc,6151711,POINT (16.367999983113645 48.23491421889424),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6adb,6151712,POINT (16.382501146301315 48.19967441989013),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ada,6151713,POINT (16.488121813167243 48.242960259626244),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-761673fc_19a031f728b_-6ad9,6151714,POINT (16.488598748235546 48.24346837891181),Trinkbrunnen mit Tränke,5,
